17;13;13;13;13;13;13;13;13;13;13;13;13;13;13;16
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
10;19;0;0;0;0;0;0;0;0;0;0;0;0;0;8
15;18;5;5;9;0;0;0;0;0;0;0;0;0;0;8
6;6;6;6;10;0;0;0;0;0;0;0;0;0;0;8
6;6;6;6;15;9;0;0;0;0;0;0;0;0;0;8
6;6;6;6;6;10;0;0;0;0;0;0;0;0;0;8
6;6;6;6;6;15;9;0;0;0;29;0;0;0;0;8
17;13;13;13;13;13;12;0;0;7;5;9;0;0;0;8
10;0;0;0;0;0;0;0;0;11;13;12;0;0;7;14
10;0;0;0;0;0;0;0;0;0;0;0;0;0;11;16
10;0;0;0;0;0;0;0;0;0;0;0;25;25;0;8
10;0;0;0;0;0;0;0;0;0;7;5;26;26;5;14
10;0;0;0;0;0;0;0;0;7;14;1;2;3;4;6
10;0;29;0;28;28;0;0;7;14;6;6;6;6;6;6
15;5;5;5;27;27;5;5;14;6;6;6;6;6;6;6
