17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16
10,0,0,0,0,0,0,0,0,0,44,0,0,0,0,8
10,0,0,0,42,0,0,41,0,0,44,0,0,19,0,8
10,0,0,7,40,40,40,40,9,0,44,0,7,18,5,14
10,0,0,11,13,13,13,13,12,0,44,0,11,6,6,6
15,9,0,0,0,0,0,44,0,0,0,0,0,11,6,6
6,10,0,39,0,0,0,44,0,0,0,0,0,0,11,16
6,15,5,40,5,9,0,0,0,0,0,29,0,0,0,8
17,13,13,13,16,15,31,31,31,5,5,5,9,0,0,8
10,0,44,0,11,13,13,13,13,13,13,13,12,0,7,14
10,0,44,0,0,0,0,0,44,44,0,0,0,0,11,16
10,0,44,0,0,0,0,0,44,0,0,0,25,25,0,8
10,0,44,0,0,0,0,0,0,0,7,40,26,26,5,14
10,0,0,0,0,0,0,0,0,7,14,1,2,3,4,6
10,0,30,0,28,28,0,43,7,14,6,2,6,6,6,6
15,5,5,5,27,27,5,40,14,6,6,6,6,6,6,6
