17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,16,17,13,13,13,13,13,13,13,13,13,13,16
10,0,0,44,44,0,0,0,0,0,0,44,44,0,0,0
44,44,44,8,10,0,0,0,0,0,44,0,0,0,0,8
10,0,0,44,44,0,0,0,0,0,0,0,44,0,0,0
44,44,44,8,10,0,0,0,0,0,44,0,0,0,19,8
10,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
44,44,0,8,10,42,0,0,0,0,7,9,0,7,18,14
10,0,0,44,0,0,39,0,0,0,0,0,29,0,0,0
44,44,0,8,15,40,9,0,0,0,11,12,0,11,13,16
10,0,0,0,0,7,40,31,31,31,31,31,5,9,0,0
44,44,0,8,6,6,15,9,0,0,0,44,0,44,0,8
10,0,0,0,0,11,13,13,13,16,6,6,6,10,0,0
0,44,0,8,6,6,6,15,9,0,0,44,44,0,0,8
15,5,9,0,0,0,0,0,44,11,13,16,6,10,0,0
0,44,0,8,17,13,13,13,12,0,0,44,0,0,0,8
6,6,10,28,0,0,0,0,44,0,0,8,6,10,0,0
0,44,0,11,12,44,44,0,0,0,7,9,0,0,0,8
6,6,15,27,5,9,0,0,0,0,0,8,6,10,0,0
0,0,0,0,44,44,0,0,0,0,11,12,0,0,0,8
17,13,13,13,16,15,9,0,0,0,0,8,6,10,0,0
0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,8
10,44,44,0,11,13,12,0,0,0,41,8,6,10,0,0
0,0,0,0,0,44,0,0,0,0,0,0,0,39,0,8
10,0,44,0,0,0,0,0,0,7,40,14,6,15,31,31
31,5,9,0,0,0,0,0,0,0,0,7,5,40,5,14
10,0,44,0,0,0,0,0,0,11,13,16,6,6,45,45
45,6,10,0,0,0,0,0,0,0,7,14,6,6,6,6
10,1,30,0,25,25,25,0,29,0,0,8,6,6,45,45
45,6,10,28,28,28,43,0,29,7,14,6,6,6,6,6
15,5,5,5,26,26,26,5,5,5,5,14,6,6,6,6
6,6,15,27,27,27,40,5,5,14,6,6,6,6,6,6
